"G_Ctrl_Early_1"	"G_Ctrl_Early_2"	"G_Ctrl_Early_3"	"G_Ctrl_Late_2"	"G_Ctrl_Late_3"	"G_Ctrl_Late_4"	"G_Ctrl_Mid_1"	"G_Ctrl_Mid_3"	"G_Ctrl_Mid_4"	"G_hpo_Late_1"	"G_hpo_Late_2"	"G_hpo_Late_4"	"G_hpo_Mid_1"	"G_hpo_Mid_3"	"G_hpo_Mid_4"	"G_yki_Late_1"	"G_yki_Late_2"	"G_yki_Late_3"	"G_yki_Mid_2"	"G_yki_Mid_3"	"G_yki_Mid_4"	"S_Ctrl_Early_1"	"S_Ctrl_Early_2"	"S_Ctrl_Early_3"	"S_Ctrl_Late_1"	"S_Ctrl_Late_2"	"S_Ctrl_Late_3"	"S_Ctrl_Mid_1"	"S_Ctrl_Mid_2"	"S_Ctrl_Mid_3"	"S_hpo_Early_1"	"S_hpo_Early_3"	"S_hpo_Early_4"	"S_hpo_Late_1"	"S_hpo_Late_2"	"S_hpo_Late_3"	"S_hpo_Mid_1"	"S_hpo_Mid_2"	"S_hpo_Mid_3"	"S_yki_Early_1"	"S_yki_Early_2"	"S_yki_Early_3"	"S_yki_Late_1"	"S_yki_Late_2"	"S_yki_Late_3"	"S_yki_Mid_1"	"S_yki_Mid_2"	"S_yki_Mid_3"
"FBgn0000003"	1188	1850.5	833	605.5	416	191.5	58.5	40	366	115.5	213.5	799.5	388	365.5	1849	110	94	220	216.5	164.5	1372	25	211	80.5	2.5	6	17	55	21	17.5	30.5	28.5	172	41	69.5	14.5	17	47.5	60.5	62.5	117	10.5	24.5	26	21	37	56	26.5
"FBgn0000008"	764	1886	1482	1443	780	330	52	688	415	795	1072	1421	775	822	3999	974	848	1284	1153	1248	2462	1412	3113	1984	129	80	156	486	721	268	569	686	402	208	302	224	179	393	594	1934	1934	2314	191	58	214	1794	3834	515
"FBgn0000014"	375	11411	12037	16913	6182	11671	7538	10941	1677	26	24	47	466	150	281	4	25	78	240	148	305	25629	30081	21405	15886	14145	16641	58852	25258	21446	41190	25334	27272	38588	76608	27837	10435	26697	37914	31301	20935	24701	28435	12388	23486.83	24858	30382	17093
"FBgn0000015"	826	1431	1039	309	94	322	53	123	64	1	0	39	73	13	164	12	23	0	47	22	94	676	1218	957	43	26	26	455	199	195	2321	1242	1368	612	1517	653	374	570	762	786	57	975	228	39	133	218	246	401
"FBgn0000017"	2426	6584	4277	8459.56	4033.7	2280	1226	2392.48	2714	1656	2377	3416	2341	2189	5686	2789	1967	3970	2869	3188	5094	9708.88	10154	9253	2852.72	2474	2726	14766.87	7231.89	3924	6766.74	3884	3800	4833.88	8660	3951	1759	3934	5638.67	9272.68	6719	7172.67	6229.69	2597	5676	8577.38	11561	6463
"FBgn0000018"	1024	2225	1043	2921	1474	908	432	1439	1352	739	1611	2465	1240	944	4386	1020	944	1742	1466	991	2492	1076	825	823	397	306	373	1435	545	415	883	487	553	535	1143	377	218	560	1515	1097	279	472	657	362	589	814	1070	619
"FBgn0000022"	31	71	20	7	14	0	0	0	0	15	59	49	0	31	43	16	24	54	17	0	25	0	0	19	2	2	11	30	0	0	0	0	0	0	7	13	0	0	0	0	0	0	27	1	9	0	6	0
"FBgn0000024"	0	70	89	265	97	231	0	46	0	6	0	20	0	19	52	6	0	0	18	8	18	625	551	458	1009	1012	944	1882	710	453	687	437	466	780	1042	780	154	278	543	572	650	104	3124	1725	1548	449	627	553
"FBgn0000028"	47	400	135	195	102	30	0	229	75	61	35	173	1	57	165	30	0	106	82	84	146	52	64	110	41	37	70	150	61	0	103	129	57	99	121	55	35	161	184	55	170	49	64	22	51	65	151	46
"FBgn0000032"	484	3040	1032	3659	1192	1304	328	1537	441	653	1036	1656	888	501	2062	985	551	980	851	692	2197	2128	2004	1903	1820	1614	1984	5359	1879	1345	2115	1157	1507	2038	3163	1473	1030	1649	2964	2162	2192	1808	2510	1188	1878	2040	3009	1300
